Damara,English
"ǃKhūb ge ti ǂâi-ǂhan-sen-de a ǂan, ǁîb ge ti ǁoms tsî khâis tsî-na a ǂan. Sa-du ge ti ǂgaob di ǂâi-di hoa-de ǂan, ti mî-di tsî ǃgû ǀgaub tsî-na, hoa-na du ǂan. Ti ǂkhōn Sa-du ai-ǃâ sâu-he ǁoa, ti ǃnae-sa xu du ge a ǂan te o. Sa-du ge ti ku-ru-sa ǃgâi-se ge mû, Sa-du ku-ru-sa ta a ǀnam tsî Sa-du ǀgaib. Sa-du gā-ai-sib ge kai-se ǂoa-ǂam-sa, Sa-du dī-gu xas ge ti ǀom-sa ǂan. Nē-si ta ga ǃkhaeb xa ga ra ǃao xa-web, E-lo-ba ôa te tsî nî ǁkhau-ba te. E-lo-ba xu ta a sâu-sen ǁkhā? E-lob ai-sa xu ta mâ-ba gau ǁkhā? ǀHo-bas ǃnâs kas, ǀhom-mi ǃnâs kas xa-we o, ǃkhae-nab ǃnâs kas tsî hu-rib ǃnâ; ǃkhai-i a ǀkhai.","O God, you know my rest and waking, When I lie down and when I rise anew. You search my thoughts, my inmost inclination, The words I speak, the ways I walk, you know them too. You saw when I was made in secret, My very bones not hidden from your sight. You saw my form; its parts were down in writing. I love the wonder of your ways and praise your might. Your knowledge, God, is wondrous, awe-inspiring; Of this my soul is very well-aware. If I should fear that darkness might enfold me, Your spirit, God, would find me, even there. Where could I hide from you, Jehovah, Or be concealed, be hidden from your face? Not in the Grave nor in the highest heaven, Not in the dark nor in the sea; there is no place."
"Ku-rus ge Je-ho-vab di ǀgau-ga ra ǁgau. ǁÎb di sî-sen-ga da ge ǀhom-aib ǃnâ ra mû. ǁÎb ǃgâi-si-ba da tsēs hoa-sa ra mû. ǀHom-aib ge ǁÎb ǀgaib, gā-ai-sib tsî ǀnam-mi xa ra ǂhôa.","Gracious Jehovah, our strength and our might, You are our Savior, in you we delight. We are your Witnesses bearing your news, Whether men hear or they proudly refuse. (CHORUS) Jehovah, our Rock, Our strength and our might, Your name we make known Both day and night. Glorious Jehovah, Almighty in pow’r, You are our hiding place; You are our Tow’r."
Je-ho-vab ǂha-nub ge ûi-ba ra ǃgâi-ǃgâi. ǁÎb ge hoa khoe-na ǀnam-mi ǃna-ga ra dao-ǁgau. E-lob di ǂgae-ǂguis ge a ǂha-nu-ai. ǁÎb mîs tsî ǂha-nub tsîn ge a ǃa-nu tsî a a-ma.,"We who now serve you rejoice in your light; Eyes that are opened now see truth and right. Searching the Scriptures, we hear your command; Making our choice, for your Kingdom we stand. (CHORUS) Jehovah, our Rock, Our strength and our might, Your name we make known Both day and night. Glorious Jehovah, Almighty in pow’r, You are our hiding place; You are our Tow’r."
E-lo-ǃao-ǃgâ-xa-sib ge kai-se a ǃgâi. ǁÎb mî-mâi-di ge ǃhu-ni-ǀu-rib xa ǀga-pi. ǁÎb dao-ǁgau-di ge ûi-ba ra mā da. ǁÎb ǂkhai-sib tsî ǀons ǃnâ da ge ǂgom-ǂgom-sa-se nî hâ.,"Gladly, O God, we keep doing your will. Though Satan mocks us, we’re trusting you still. Though he may slay us, oh, help us to be Firm to the end for your grand Sov’reignty. (CHORUS) Jehovah, our Rock, Our strength and our might, Your name we make known Both day and night. Glorious Jehovah, Almighty in pow’r, You are our hiding place; You are our Tow’r."
"Je-ho-vab ǀkhom-xa-ǂgao-sib di E-lob, si-da ǀgaib ǁÎb ge a si-da ǃûi-ao. Sa-du di ǀons xa da ge ra ao-ǁnâ, khoen ga ǃgâ ta-ma ga ra ī xa-we. (ǁNAEǀHAOS) Je-ho-va E-lob ǀgai-sa tsî a ǁkhāb. Sa-du ǀons xa da nî-ra ǂan-ǂan. Bu-ru-xa E-lob, ǁÎb hoan-xa ǀga-pi. Sa-du ge a si-da di sâu-ǃkhai o.","Jehovah is our refuge, Our God in whom we trust. His shadow is our shelter; Remain in it we must. His faithful ones he will defend, On this we know we can depend. Jehovah is a stronghold, Ever faithful, loyal, and just."
"ǃGâi-a-ǂgaob ǀkha da ge nî ǃoa-ba du. A-mab Sa-du Gao-sib dīb ra ǂkhî kai. Sa-du mî-sa khom-ais ra gā-ai kai. Mâ-ǁa-po da nî Sa-du gao-sib ǃgao. (ǁNAEǀHAOS) Je-ho-va E-lob ǀgai-sa tsî a ǁkhāb. Sa-du ǀons xa da nî-ra ǂan-ǂan. Bu-ru-xa E-lob, ǁÎb hoan-xa ǀga-pi. Sa-du ge a si-da di sâu-ǃkhai o.","Though thousands will have fallen And many at our side, The righteous and the meek ones Will never be denied. So in our hearts we need not fear; Calamity will not come near. From danger he will shield us, For beneath God’s wings we’ll reside."
"Hoa-ǁae da Sa-du ǂâi-sa ra dī ǂgao. ǃKhā-ǃkhān ga xa-we da ǀū-sen ti-de. ǁGâ-uab ra ǃgam da ǂgao, xa-we hui da, î da hoa-ǁae Sa-du ai ǂgom-ai-ǂnûi. (ǁNAEǀHAOS) Je-ho-va E-lob ǀgai-sa tsî a ǁkhāb. Sa-du ǀons xa da nî-ra ǂan-ǂan. Bu-ru-xa E-lob, ǁÎb hoan-xa ǀga-pi. Sa-du ge a si-da di sâu-ǃkhai o.","He’ll keep us and protect us From snares along our way, From terrors in the nighttime, And arrows by the day. Yes, there will be no cause for dread, No place where we will fear to tread. Jehovah is our refuge, Ever guarding us on our way."
"ǃKhūb ge a si-da sâu-ǃkhai, E-lob ǂgom ai da rab. ǁÎb soms ge si-da sâu-ǃkhai, ǁîs ǃnâ da ge nî hâ. ǁÎb ge ǂhau-ǃnâ-na ra ǁkhau-ba, nēs ǃnâ da ge nî ǂgom-ai-ǂnûi. E-lob ge a si-da ǀgai, ǂgom-ǂgom-sa tsîb hoa-ǁae a ǃgâi.","Rejoice, give glory to Jehovah, For the heavens proclaim all his righteousness. Let us sing to our God joyful songs to his praise; Let us speak to all of his great acts. (CHORUS) Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King! Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King!"
"Khoen ga mâ-ǃoa da xa-wen, ǂgui-na sa-da ǀkha hâ. ǃGam-ǃgam-sen ran ge tā-tsēs tsî-na xū-he ti-de. ǃGom-si-gu ga ra hā-ǂam da, xa-we da tā-tsē ǃao ti-de. Tsū-ba xub ge nî hui da, ǃKhūb ǃna-ga da ge a hâ ǁkhā.","His glory tell among the nations; For Jehovah to us is a God who saves. Yes, Jehovah is King; he deserves all the praise. So we bow before his mighty throne. (CHORUS) Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King! Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King!"
"ǁÎb nî kō-ǃgâ tsî hui da hā-nî ǃgom-si-ga xu, tsu-xub ǃnâs kas, hoa-sa o, tsē-ǃgâ-ǁaeb ǃnâs tsî-na. ǃAo da nî xū-i ge a ǀkhai, E-lob ǃnâ da ra ǂgom xui-ao. E-lob ge si-da sâu-ǃkhai, ǁÎb hoa-ǁae si-da ra dao-ǁgau.","His righteous rule is now established. On his throne, he has placed his anointed Son. Let the gods of this world be brought down and be shamed, For the praise belongs to God alone. (CHORUS) Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King! Let the heavens rejoice, Let the earth joyful be, For Jehovah has become our King!"
"Je-ho-va-ba ǂkhai-si-ba mā re, ǀhom-mi ge ǁÎb di ǂkhai-si-ba ra ǁgau da. Hā re î da Je-ho-va-ba ǁnae-ba hoa-ǁae tsî ǁîb di ǃgâi dī-gu xa ao-ǁnâ. (ǁNAEǀHAOS) Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai! Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai!","Praise our God! Praise Jehovah God! Make his glorious name known to all! Sound alarm, For his day is near, Help all people hear his warning call. Jehovah decreed that now is the time For his Firstborn to rule as King. Reach out to all people, tell them the news, Tell what blessings our God will bring! (CHORUS) Praise our God! Praise Jehovah God! Make his greatness known in all the earth!"
"E-lob xa a da khoe-na mî-ba; ǁÎb a si-da di Ku-ru-ao a-ma-ga. ǁÎb ge si-da gao-ao tsîb koa-he-sa a-nu, nē-sis tsî ǀam-o-sib hoab kō-se. (ǁNAEǀHAOS) Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai! Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai!","Praise our God! Sing it loud and clear! With a joyful song, laud his name! From the heart, From a grateful heart, All his glory boldly we proclaim. Though grand is our God and great are his works, He is humble and good to all. Our merciful Father knows what we need; He responds when he hears our call. (CHORUS) Praise our God! Praise Jehovah God! Make his greatness known in all the earth!"
"ǁÎb gao-sib ǂha-nu-ai-sib ai mâ. Tron-sa ǀgôa-ba ge mā, ǁÎb ǂkhau-he-sa-ba. A gu nē ǃhūb-aib di gao-ao-ga tao-tao-he. E-lob ǀguib koa-he-sa a-nu hâ. (ǁNAEǀHAOS) Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai! Ab ǀhom-mi tsî ǃhūb-aib tsî kha ǃgâi-a-ǂgao re, si-da E-lob ge go gao-ao kai!","Your glory, God, your mighty works abound, In skies above, their praise for you resounds. Creation speaks without a voice or word; In all the earth, its message can be heard. Creation speaks without a voice or word; In all the earth, its message can be heard."
"Ka-re re! Si-da E-lo-baǃ ǁÎb ǀons xa hoa khoe-na mî-baǃ ǁÎb ǁaib di tsēs ge go ǀgū toa, Hoa khoe-na hui re în nēs xa ǁnâu. Nē-sab ge Je-ho-va-ba ge mî-mâi. ǁÎb ǀgôab ge Gao-se ra ǂgae-ǂgui. ǃHūb-aib ǂha-wa-se khoe-na mî-ba re, E-lob tae-na nî-ra dī-sa! (ǁNAEǀHAOS) Ka-re re! Si-da E-lo-ba! ǁÎb ǃgâi-sib xa khoe-na mî-ba re!",True wisdom starts with wholesome fear of you And guards our way in all we say and do. Your wise commands enlighten young and old— A treasure far exceeding finest gold. Your wise commands enlighten young and old— A treasure far exceeding finest gold.
"Ka-re reǃ ǁÎ-ba ǁnae-ba re! ǁÎ-ba koa, ǁîb a kai xui-ge! ǂGao-ba xu, gan-gan-xa ǂgaob ǀkha, ǁÎb ǂkhai-sib xa da nî-ra ao-ǁnâ. ǁÎb ge ku-ru xūn ge a ǂoa-ǂam-sa. ǁÎb ge hoan ǃoa-gu a ǂhau-ǃnâ. E-lob ge si-da ǂhâ-si-ga a ǂan; tsî si-da ǀgo-re-de ra ǁnâu. (ǁNAEǀHAOS) Ka-re re! Si-da E-lo-ba! ǁÎb ǃgâi-sib xa khoe-na mî-ba re!","By knowing you, our life is not in vain, And by your word, our life will be sustained. The greatest honor anyone can gain Will come to all who sanctify your name. The greatest honor anyone can gain Will come to all who sanctify your name."
"E-lob ǀgaib ge ku-rus ǃnâ ra mû-he, ǀhom-mi tsîn ge nē-sa ra ǁgau-ǂui o. Ku-rus ge ǁÎb di kai ǀnam-ma ra ǁgau. ǃHūb-aib hoab ge ǁîb mî-sa nî-ra ǁnâu. Ku-rus ge ǁÎb di kai ǀnam-ma ra ǁgau. ǃHūb-aib hoab ge ǁîb mî-sa nî-ra ǁnâu.","Great God, Jehovah, you are deserving, Worthy of the highest praise, Good and just in all your ways. You have such power, deep love, and wisdom. You are God to endless days."
Gā-ai-sib sa-do ǃaos ǀkha ra tsoa-tsoa tsî nēs ge si-da hoa-ǁae ra dao-ǁgau. Nēs ǂkha-man tsî kai-ra-na ǃkhō-ǂgā hâ— Nēs ge a ǀō-ai-sa hoa xūn ǂam-ai. Nēs ǂkha-man tsî kai-ra-na ǃkhō-ǂgā hâ— Nēs ge a ǀō-ai-sa hoa xūn ǂam-ai.,"Father, we feel your tender compassion. We are dust, and still you care; Graciously you hear our prayer. How you sustain us, teach us, and guide us! Help from you is always there."
"Si-da ûib ge ǂâi-ba-sen-sa ū-hâ tsî sa-du mîs ge ǁkhā-si-ba ra mā. Nēs ge kai-se ǀga-pi ǀhō-sa-si-sa, ǁîn hî-na sa-du ǀon-sa ra ǃgôan ǃgao. Nēs ge kai-se ǀga-pi ǀhō-sa-si-sa, ǁîn hî-na sa-du ǀon-sa ra ǃgôan ǃgao.","Heaven and earth now sing of your glory. Joyfully with voices raised, We exalt you all our days. Great God, Jehovah, you are deserving. Please accept our heartfelt praise."
"Je-ho-va E-lo, sa-du ǃoa-ǂui hâ si-da xa ǃoa-ba-he-sa, ǂha-nu-ai du a xui-ao. Sa-du gā-ai-sib ra mâ-ǂoa-ba da. ǀAm-e ū-hâ ta-ma ǃkhūb.","What love Jehovah showed, What goodness from him flowed, When for all mankind he offered his Firstborn. Christ took on human form— The Son of man was born— By his example, God’s name he adorned."
Sa-du kai ǀkho-ma da ge ra hō-ǃâ. Si-da ǀkha du ge ǁae hâ tsî ǀgo-re-de ra ǁnâu-am. Sa-du kō-ǃgâ da tsî ra ǁkhā-ǁkhā da. Hoa-ǁae du ge ra hui da.,"Jehovah’s Word, he said, Sustained his life like bread. It gave him wisdom and knowledge and insight. His Father’s willing slave, A model Jesus gave; To please his Father would bring him delight."
"ǃHūb-aib ge sa-du ǂkhai-sib xa ra ǁnae. ǃGâi-a-ǂgaob ǀkha da nî ǁnae tsî ǀams kō-se nî koa du. Je-ho-va E-lo, sa-du ǃoa-ǂui hâ. Si-da xa ǃoa-ba-he-sa.","Like Jesus, may our days Provide Jehovah praise, And may his footsteps become our own roadway. Let Jesus’ model be Our path eternally, And then God’s favor we’ll know day by day."
"Nēb ge a-ma ǀnam-ma, Je-ho-vab ge ǁgau-ba. Hoa khoen ǃa-ro-mab ge ǁÎb ǀGôa-ba ge mā. Xris-tub ge ǃgam-ǃgam-sen— Khoen ôab ge ge ǃnae-he— ǁÎb ai-ǁgaus ge, ǃKhūb ǀon-sa ra kai-kai.","A multitude is gathering from ev’ry tribe and nation, Collected by the Christ and his anointed congregation. God’s Kingdom has been brought to birth; We pray his will be done on earth. This hope is a gift of priceless worth, Giving joy and consolation. (CHORUS) Praise our God, Jehovah; Praise his Son forever— King of all kings and the Lord of lords. Now unitedly we bow to his rule And praise him with one accord."
"ǁÎb ge ge mî ǃKhūb mîs ge ǂû-i kha-mi ī. Tsî gā-ai-sib tsî ǂans tsî-na ge mā bi. ǁGûb di mā-sen-xa ǃgāb, Xris-tub ge ai-ǁgau-sa mā da tsî nēs ǀkha ǁGû-ba ge ǂkhî-ǂkhî.","We praise the Christ, our reigning King, with sounds of jubilation. This Prince of Peace will be our Judge and bring about salvation. We see the joys that lie ahead: An earth released from fear and dread; The time for our Lord to raise the dead. What a time for exultation! (CHORUS) Praise our God, Jehovah; Praise his Son forever— King of all kings and the Lord of lords. Now unitedly we bow to his rule And praise him with one accord."
A da Je-sub kha-mi Je-ho-va-ba koa re. As ǁîb di ai-ǁgau-sa si-da dao-ǁgau re. A da Je-sub ai-ǁgau-sa tsēs hoa-sa sao re. O da ge Je-ho-va-ba nî ǂkhî-ǂkhî.,"Praise Jehovah’s Firstborn, God’s duly appointed King. He reigns for truth and justice; Rich blessings his rule will bring. With dignity and splendor And love for God’s great name, He’ll vindicate Jehovah, His sov’reignty proclaim. (CHORUS) Praise Jehovah’s Firstborn! All praise God’s anointed Son. Installed upon Mount Zion, His Kingship has now begun!"
"Khoen ge mâ go-wab, ǁae-di tsî ǃhao-di hoa-de xu ǀhao hâ, Je-sub Xris-tub tsî ǂkhau-he-sa ǀhao-hâb xa ǀhao-ǀhao-he hâ. ǃKhūb Gao-sib go ǂgae-ǂgui tsoa-tsoa, ǁîb ǂâi-sas ǃhūb-aib ai hā re. Nē ǃâu-ba-sens kai-se ǂoa-ǂam-sa, Nēs ge ǁkhae-ǂgao-sa ra mā da. (ǁNAEǀHAOS) Ka-re re E-lo-ba tsî Xris-tub ǁÎb di ǀgôab— ǃKhū-gu di ǃKhūb, gao-ao-gu di Gaob. ǀGui-ǃnâ-xa-sib ǃnâ da nî ǀgo-re-ǀî tsî hoa-ǁae nî ǃoa-ba bi.","Praise Jehovah’s Firstborn, Who died so that we may live. He humbly paid the ransom; Our sins God can now forgive. The bride of Christ awaits him, Adorned for him in white. This marriage in the heavens Will prove God’s rule is right. (CHORUS) Praise Jehovah’s Firstborn! All praise God’s anointed Son. Installed upon Mount Zion, His Kingship has now begun!"
"Je-sub Xris-tu-ba ǁnae-ba re, si-da di kai gao-ao-ba. Nē gao-aob ge ǃno-ra-sa-sib tsî ǂkhîb tsî-na nî-ra hau. Tsî nē-sa ǃoa da ra mû-ǂui: ǃGom-si-ga xu o-re-he-sa, ǁō hân di khâis di ǃâu-ba-sen-sa. Ma-ti-kō-se nî bu-ru-xaǃ (ǁNAEǀHAOS) Ka-re re E-lo-ba tsî Xris-tub ǁÎb di ǀgôab— ǃKhū-gu di ǃKhūb, gao-ao-gu di Gaob. ǀGui-ǃnâ-xa-sib ǃnâ da nî ǀgo-re-ǀî tsî hoa-ǁae nî ǃoa-ba bi.","Jehovah anointed his Son To rule over ev’ryone. His throne is established on justice, That God’s will on earth may be done. (CHORUS) Praise Jah for his Son, the Anointed. Praise Jesus, O you faithful sheep, Who loyally follow day after day and all his commandments keep. Praise Jah for his Son, the Anointed, the Ruler of heavenly fame, Anointed with exultation and might to honor God’s holy name."
"Koa re E-lob ǀgôa-ba, ǁîb xa ge ǁhûi-he Gao-ba. ǁÎb a-mab ǃnâ ra ǂgae-ǂgui tsî kai ǀkhae-ba nî ǀkhī-ū. ǃGam ǃgôa-sib tsî ka-res ǀkha ǃKhūb ǀon-sab ǀnam xui-aob ge ǁî-sa ra ǀga-pi kai. ǃKhūb ǂgae-ǂguis ge a ǃgâi. (ǁNAEǀHAOS) Koa re E-lob ǀgôa-ba! An hoa-na ǀgôa-ba koa re. Si-ons ǃhom-mi ai mâ-ba. ǁÎb ǂgae-ǂguis ge go tsoa-tsoa!","Christ’s brothers are chosen and called. God gives them their own new birth. This bride class will share in the Kingdom And bring Paradise to this earth. (CHORUS) Praise Jah for his Son, the Anointed. Praise Jesus, O you faithful sheep, Who loyally follow day after day and all his commandments keep. Praise Jah for his Son, the Anointed, the Ruler of heavenly fame, Anointed with exultation and might to honor God’s holy name."
"Koa re E-lob ǀgôa-ba, si-da ǃgao ge a ǁō-ba. Xo-re-ma-ri-ba mās ǀkha, si-da ǁō-ren ǃa-ro-ma. ǁÎb ǃgam-e ta-ras ǃâu hâ ǁîs ǃu-ri sa-rab ǃnâ. Nē ǃgae-ǀhaos ǀhom-mi ǃnâ hâs ge ǂgae-ǂgui-sa ra ǁgau (ǁNAEǀHAOS) Koa re E-lob ǀgôa-ba! An hoa-na ǀgôa-ba koa re. Si-ons ǃhom-mi ai mâ-ba. ǁÎb ǂgae-ǂguis ge go tsoa-tsoa!","Kind and patient, perfect in love, Was Christ, who came down from above. He took care of our needs With words and by deeds; He gave of his time and his love. He would keep the lowly in mind By healing the sick, deaf, and blind. To his royal commission he proved true And willingly said: “I want to.”"
"Je-ho-vab ge ǀGôa-ba ge ǂkhau, îb hoa khoe-na ǂgae-ǂgui ǁkhā. ǁÎb trons ge ǂha-nu-ai-sib ai mâ, is E-lob ǂâi-sa dī-he ǁkhā. (ǁNAEǀHAOS) Je-ho-va-ba koa re ǁîb ǀGôab ǃgao, Je-su-ba du hoa do koa re. ǂGom-ǂgom-sa-se ǁÎb mî-sa hoa-ǁae ra saon tsî ǁÎb ǂâi-sa ra dīn. Je-ho-va-ba koa re ǁîb ǀGôab ǃgao, ǁîb Gao-sib di ǂgae-ǂgui-ao-ba. Je-sub ge hoa-ǁae ǁîb di ǁGûb kai ǃa-nu ǀon-sa ra ǀga-pi kai.","We now try to follow his way In all of our dealings each day. We are loving and kind To all whom we find; We help them to learn and obey. We respond to friends when in need; We love them in word and in deed. So if widows and orphans should ask you, Then readily say: “I want to.”"
